男女,市区町村コード,町丁字コード,地域階層レベル,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数,徒歩のみ,鉄道・電車,乗合バス,勤め先・学校のバス,自家用車,ハイヤー・タクシー,オートバイ,自転車,その他,利用交通手段「不詳」
総数,14101,14001,4,,,,神奈川県,横浜市鶴見区,寺谷,一丁目,1073,89,771,178,20,75,3,16,78,7,23
総数,14101,14002,4,,,,神奈川県,横浜市鶴見区,寺谷,二丁目,1063,127,690,132,13,79,2,21,86,13,57
総数,14101,160,2,,,,神奈川県,横浜市鶴見区,諏訪坂,,813,70,460,171,15,104,6,19,127,14,36
総数,14101,170,2,,,,神奈川県,横浜市鶴見区,豊岡町,,2566,260,1831,220,33,137,12,24,127,26,110
総数,14101,180,2,,,,神奈川県,横浜市鶴見区,佃野町,,2178,217,1419,217,29,176,2,37,252,23,50
総数,14101,190,3,,,,神奈川県,横浜市鶴見区,馬場,,6822,389,3361,3178,72,1404,29,450,666,95,179
総数,14101,19001,4,,,,神奈川県,横浜市鶴見区,馬場,一丁目,955,69,455,394,13,213,9,68,85,9,27
総数,14101,19002,4,,,,神奈川県,横浜市鶴見区,馬場,二丁目,1146,61,555,559,11,238,6,90,115,19,29
総数,14101,19003,4,,,,神奈川県,横浜市鶴見区,馬場,三丁目,1152,77,548,603,17,225,3,79,110,16,25
総数,14101,19004,4,,,,神奈川県,横浜市鶴見区,馬場,四丁目,1091,62,520,542,6,228,5,57,123,19,27
総数,14101,19005,4,,,,神奈川県,横浜市鶴見区,馬場,五丁目,777,31,388,427,13,134,2,42,71,9,30
総数,14101,19006,4,,,,神奈川県,横浜市鶴見区,馬場,六丁目,745,24,362,359,3,184,2,60,77,12,18
総数,14101,19007,4,,,,神奈川県,横浜市鶴見区,馬場,七丁目,956,65,533,294,9,182,2,54,85,11,23
総数,14101,260,3,,,,神奈川県,横浜市鶴見区,北寺尾,,7016,426,3493,3352,88,1368,21,424,729,99,144
総数,14101,26001,4,,,,神奈川県,横浜市鶴見区,北寺尾,一丁目,871,55,446,478,7,153,-,31,77,12,22
総数,14101,26002,4,,,,神奈川県,横浜市鶴見区,北寺尾,二丁目,649,43,318,338,2,133,-,21,64,5,20
総数,14101,26003,4,,,,神奈川県,横浜市鶴見区,北寺尾,三丁目,836,58,377,404,9,166,4,58,101,13,14
総数,14101,26004,4,,,,神奈川県,横浜市鶴見区,北寺尾,四丁目,997,65,532,554,18,175,5,54,91,16,17
総数,14101,26005,4,,,,神奈川県,横浜市鶴見区,北寺尾,五丁目,978,59,532,580,17,161,2,48,84,13,13
総数,14101,26006,4,,,,神奈川県,横浜市鶴見区,北寺尾,六丁目,1278,71,583,556,16,288,5,98,138,20,26
総数,14101,26007,4,,,,神奈川県,横浜市鶴見区,北寺尾,七丁目,1407,75,705,442,19,292,5,114,174,20,32
総数,14101,331,3,,,,神奈川県,横浜市鶴見区,獅子ケ谷,,2898,192,1237,1336,44,631,7,198,383,52,115
総数,14101,33101,4,,,,神奈川県,横浜市鶴見区,獅子ケ谷,一丁目,1890,104,851,942,34,391,4,113,246,30,72
総数,14101,33102,4,,,,神奈川県,横浜市鶴見区,獅子ケ谷,二丁目,775,73,305,323,8,168,3,69,94,14,43
総数,14101,33103,4,,,,神奈川県,横浜市鶴見区,獅子ケ谷,三丁目,233,15,81,71,2,72,-,16,43,8,-
総数,14101,341,3,,,,神奈川県,横浜市鶴見区,駒岡,,6617,506,2565,2580,78,1273,18,449,1424,130,204
総数,14101,34101,4,,,,神奈川県,横浜市鶴見区,駒岡,一丁目,1338,103,522,559,13,270,7,94,269,30,32
総数,14101,34102,4,,,,神奈川県,横浜市鶴見区,駒岡,二丁目,583,84,222,192,8,106,1,31,112,11,30
総数,14101,34103,4,,,,神奈川県,横浜市鶴見区,駒岡,三丁目,1378,95,483,534,19,287,4,120,281,26,43
総数,14101,34104,4,,,,神奈川県,横浜市鶴見区,駒岡,四丁目,2165,129,873,887,24,410,4,124,486,42,72
総数,14101,34105,4,,,,神奈川県,横浜市鶴見区,駒岡,五丁目,1153,95,465,408,14,200,2,80,276,21,27
総数,14101,350,3,,,,神奈川県,横浜市鶴見区,上末吉,,4019,261,1576,1591,71,814,6,246,961,64,113
総数,14101,35001,4,,,,神奈川県,横浜市鶴見区,上末吉,一丁目,1042,71,428,400,13,229,1,57,240,17,33
総数,14101,35002,4,,,,神奈川県,横浜市鶴見区,上末吉,二丁目,991,65,413,393,26,177,2,51,260,18,22
総数,14101,35003,4,,,,神奈川県,横浜市鶴見区,上末吉,三丁目,474,36,188,196,8,93,1,28,106,5,13
総数,14101,35004,4,,,,神奈川県,横浜市鶴見区,上末吉,四丁目,589,34,219,239,11,118,1,38,141,9,22
総数,14101,35005,4,,,,神奈川県,横浜市鶴見区,上末吉,五丁目,923,55,328,363,13,197,1,72,214,15,23
総数,14101,400,3,,,,神奈川県,横浜市鶴見区,下末吉,,5877,534,2618,2132,80,852,21,290,1229,80,289
総数,14101,40001,4,,,,神奈川県,横浜市鶴見区,下末吉,一丁目,840,87,449,232,7,97,2,30,170,10,32
総数,14101,40002,4,,,,神奈川県,横浜市鶴見区,下末吉,二丁目,886,75,416,327,9,100,2,31,233,10,28
総数,14101,40003,4,,,,神奈川県,横浜市鶴見区,下末吉,三丁目,656,63,284,289,14,74,3,38,158,12,14
総数,14101,40004,4,,,,神奈川県,横浜市鶴見区,下末吉,四丁目,667,67,272,258,12,100,2,36,158,12,20
総数,14101,40005,4,,,,神奈川県,横浜市鶴見区,下末吉,五丁目,1575,123,701,573,20,282,7,77,287,16,62
総数,14101,40006,4,,,,神奈川県,横浜市鶴見区,下末吉,六丁目,1253,119,496,453,18,199,5,78,223,20,133
総数,14101,460,3,,,,神奈川県,横浜市鶴見区,梶山,,2234,92,826,853,26,621,6,178,397,31,63
総数,14101,46001,4,合算地域あり,,480,神奈川県,横浜市鶴見区,梶山,一丁目,853,37,333,320,14,203,-,74,159,12,24
総数,14101,46002,4,,,,神奈川県,横浜市鶴見区,梶山,二丁目,1381,55,493,533,12,418,6,104,238,19,39
総数,14101,480,2,秘匿地域,46001,,神奈川県,横浜市鶴見区,三ツ池公園,,X,X,X,X,X,X,X,X,X,X,X
総数,14101,490,2,,,,神奈川県,横浜市鶴見区,江ケ崎町,,3539,250,1871,785,45,453,3,108,889,35,78
総数,14101,500,3,,,,神奈川県,横浜市鶴見区,矢向,,9635,802,6015,874,165,911,13,232,1470,106,265
総数,14101,50001,4,,,,神奈川県,横浜市鶴見区,矢向,一丁目,2933,197,1578,412,46,375,2,88,650,44,73
総数,14101,50002,4,,,,神奈川県,横浜市鶴見区,矢向,二丁目,824,69,539,46,17,78,1,13,110,7,25
総数,14101,50003,4,,,,神奈川県,横浜市鶴見区,矢向,三丁目,1913,156,1272,108,28,156,5,43,255,13,60
総数,14101,50004,4,,,,神奈川県,横浜市鶴見区,矢向,四丁目,1632,166,1046,142,41,125,2,43,196,16,44
総数,14101,50005,4,,,,神奈川県,横浜市鶴見区,矢向,五丁目,1557,138,1062,113,23,122,2,25,180,16,33
総数,14101,50006,4,,,,神奈川県,横浜市鶴見区,矢向,六丁目,776,76,518,53,10,55,1,20,79,10,30
総数,14101,560,2,,,,神奈川県,横浜市鶴見区,市場上町,,1332,76,905,67,14,102,1,17,188,28,52
総数,14101,570,2,,,,神奈川県,横浜市鶴見区,市場東中町,,471,41,290,27,8,53,-,12,60,4,20
総数,14101,580,2,,,,神奈川県,横浜市鶴見区,市場西中町,,610,44,404,45,16,38,2,14,78,6,36
総数,14101,590,2,,,,神奈川県,横浜市鶴見区,市場下町,,1382,92,853,83,18,153,2,34,249,13,46
総数,14101,600,2,,,,神奈川県,横浜市鶴見区,市場大和町,,915,64,639,56,21,67,3,21,110,18,32
総数,14101,610,2,,,,神奈川県,横浜市鶴見区,市場富士見町,,724,49,490,43,13,75,4,10,86,6,25
総数,14101,620,3,,,,神奈川県,横浜市鶴見区,尻手,,4934,314,3299,313,54,450,8,84,887,45,93
総数,14101,62001,4,,,,神奈川県,横浜市鶴見区,尻手,一丁目,2571,143,1731,133,23,246,7,48,528,21,44
総数,14101,62002,4,,,,神奈川県,横浜市鶴見区,尻手,二丁目,1004,87,616,70,13,103,-,23,178,15,13
総数,14101,62003,4,,,,神奈川県,横浜市鶴見区,尻手,三丁目,1359,84,952,110,18,101,1,13,181,9,36
総数,14101,650,2,,,,神奈川県,横浜市鶴見区,菅沢町,,668,62,377,46,13,91,5,13,119,6,18
総数,14101,660,3,,,,神奈川県,横浜市鶴見区,栄町通,,1825,127,849,349,50,266,6,50,485,29,73
総数,14101,66001,4,,,,神奈川県,横浜市鶴見区,栄町通,一丁目,461,36,167,100,14,71,3,18,140,12,24
総数,14101,66002,4,,,,神奈川県,横浜市鶴見区,栄町通,二丁目,385,26,154,78,10,73,1,12,117,9,7
総数,14101,66003,4,,,,神奈川県,横浜市鶴見区,栄町通,三丁目,507,27,281,117,13,66,-,9,133,5,20
総数,14101,66004,4,,,,神奈川県,横浜市鶴見区,栄町通,四丁目,472,38,247,54,13,56,2,11,95,3,22
総数,14101,700,3,,,,神奈川県,横浜市鶴見区,平安町,,3895,214,2037,845,51,530,16,124,896,69,103
総数,14101,70001,4,,,,神奈川県,横浜市鶴見区,平安町,一丁目,1922,95,1135,177,33,215,11,52,396,30,48
総数,14101,70002,4,,,,神奈川県,横浜市鶴見区,平安町,二丁目,1973,119,902,668,18,315,5,72,500,39,55
総数,14101,720,3,,,,神奈川県,横浜市鶴見区,向井町,,1740,147,867,498,35,189,7,46,424,35,56
総数,14101,72001,4,,,,神奈川県,横浜市鶴見区,向井町,一丁目,383,24,249,71,6,34,2,8,71,5,5
総数,14101,72002,4,,,,神奈川県,横浜市鶴見区,向井町,二丁目,245,18,129,51,3,37,-,9,61,5,6
総数,14101,72003,4,,,,神奈川県,横浜市鶴見区,向井町,三丁目,649,57,304,213,17,66,4,18,158,18,28
総数,14101,72004,4,,,,神奈川県,横浜市鶴見区,向井町,四丁目,463,48,185,163,9,52,1,11,134,7,17
総数,14101,760,2,,,,神奈川県,横浜市鶴見区,大東町,,837,82,301,252,6,154,3,35,230,21,22
総数,14101,770,3,,,,神奈川県,横浜市鶴見区,潮田町,,1992,227,874,353,40,229,12,54,470,48,101
総数,14101,77001,4,,,,神奈川県,横浜市鶴見区,潮田町,一丁目,725,73,402,77,14,73,4,18,138,10,22
総数,14101,77002,4,,,,神奈川県,横浜市鶴見区,潮田町,二丁目,440,48,197,69,7,44,2,15,110,8,32
総数,14101,77003,4,,,,神奈川県,横浜市鶴見区,潮田町,三丁目,523,73,185,120,9,71,2,15,129,17,33
総数,14101,77004,4,,,,神奈川県,横浜市鶴見区,潮田町,四丁目,304,33,90,87,10,41,4,6,93,13,14
総数,14101,810,3,,,,神奈川県,横浜市鶴見区,本町通,,1848,195,1032,284,38,173,5,31,310,27,65
総数,14101,81001,4,,,,神奈川県,横浜市鶴見区,本町通,一丁目,452,43,286,50,2,47,1,6,52,7,8
総数,14101,81002,4,,,,神奈川県,横浜市鶴見区,本町通,二丁目,434,47,219,67,12,45,-,8,84,4,23
総数,14101,81003,4,,,,神奈川県,横浜市鶴見区,本町通,三丁目,454,53,255,82,13,35,2,6,74,8,17
総数,14101,81004,4,,,,神奈川県,横浜市鶴見区,本町通,四丁目,508,52,272,85,11,46,2,11,100,8,17
総数,14101,850,3,,,,神奈川県,横浜市鶴見区,仲通,,1214,134,470,257,26,154,5,36,346,37,68
総数,14101,85001,4,,,,神奈川県,横浜市鶴見区,仲通,一丁目,335,30,163,88,8,28,2,6,97,4,19
総数,14101,85002,4,,,,神奈川県,横浜市鶴見区,仲通,二丁目,392,54,152,82,7,56,3,8,104,14,21
総数,14101,85003,4,,,,神奈川県,横浜市鶴見区,仲通,三丁目,487,50,155,87,11,70,-,22,145,19,28
総数,14101,880,3,,,,神奈川県,横浜市鶴見区,浜町,,286,37,74,41,13,48,-,9,86,6,20
総数,14101,88001,4,,,,神奈川県,横浜市鶴見区,浜町,一丁目,212,27,55,32,9,34,-,6,70,4,13
総数,14101,88002,4,,,,神奈川県,横浜市鶴見区,浜町,二丁目,74,10,19,9,4,14,-,3,16,2,7
総数,14101,900,3,,,,神奈川県,横浜市鶴見区,朝日町,,1183,102,394,312,25,222,4,54,319,25,53
総数,14101,90001,4,,,,神奈川県,横浜市鶴見区,朝日町,一丁目,389,39,123,80,13,72,-,17,87,10,28
総数,14101,90002,4,,,,神奈川県,横浜市鶴見区,朝日町,二丁目,794,63,271,232,12,150,4,37,232,15,25
総数,14101,920,2,,,,神奈川県,横浜市鶴見区,寛政町,,413,34,174,55,6,68,1,20,94,7,30
総数,14101,930,2,,,,神奈川県,横浜市鶴見区,弁天町,,3,-,2,2,-,-,-,-,1,-,-
総数,14101,940,3,,,,神奈川県,横浜市鶴見区,汐入町,,1089,182,417,152,23,143,6,41,242,27,56
総数,14101,94001,4,,,,神奈川県,横浜市鶴見区,汐入町,一丁目,394,58,169,55,7,53,1,10,91,7,10
総数,14101,94002,4,,,,神奈川県,横浜市鶴見区,汐入町,二丁目,218,31,90,47,8,26,2,6,55,7,8
総数,14101,94003,4,,,,神奈川県,横浜市鶴見区,汐入町,三丁目,477,93,158,50,8,64,3,25,96,13,38
総数,14101,970,3,,,,神奈川県,横浜市鶴見区,下野谷町,,2077,177,1184,143,44,194,4,48,374,30,123
総数,14101,97001,4,,,,神奈川県,横浜市鶴見区,下野谷町,一丁目,1091,76,675,76,19,79,-,18,182,19,84
総数,14101,97002,4,,,,神奈川県,横浜市鶴見区,下野谷町,二丁目,243,22,133,19,1,25,-,4,43,4,12
総数,14101,97003,4,,,,神奈川県,横浜市鶴見区,下野谷町,三丁目,269,31,131,17,12,26,1,11,56,3,13
総数,14101,97004,4,,,,神奈川県,横浜市鶴見区,下野谷町,四丁目,474,48,245,31,12,64,3,15,93,4,14
総数,14101,1010,2,,,,神奈川県,横浜市鶴見区,小野町,,1047,130,602,62,12,99,-,37,162,20,44
総数,14101,1020,3,,,,神奈川県,横浜市鶴見区,末広町,,-,-,-,-,-,-,-,-,-,-,-
総数,14101,102001,4,,,,神奈川県,横浜市鶴見区,末広町,一丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14101,102002,4,,,,神奈川県,横浜市鶴見区,末広町,二丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14101,1040,3,,,,神奈川県,横浜市鶴見区,安善町,,15,3,3,1,-,2,-,1,2,-,4
総数,14101,104001,4,,,,神奈川県,横浜市鶴見区,安善町,一丁目,15,3,3,1,-,2,-,1,2,-,4
総数,14101,104002,4,,,,神奈川県,横浜市鶴見区,安善町,二丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14101,1060,2,,,,神奈川県,横浜市鶴見区,扇島,,-,-,-,-,-,-,-,-,-,-,-
総数,14101,1070,3,,,,神奈川県,横浜市鶴見区,元宮,,2104,165,1142,204,31,245,5,67,499,30,112
総数,14101,107001,4,,,,神奈川県,横浜市鶴見区,元宮,一丁目,1232,115,664,109,15,142,3,44,241,14,58
総数,14101,107002,4,,,,神奈川県,横浜市鶴見区,元宮,二丁目,872,50,478,95,16,103,2,23,258,16,54
総数,14101,1090,3,,,,神奈川県,横浜市鶴見区,東寺尾,,7672,537,3797,3255,108,1396,30,461,846,98,204
総数,14101,109001,4,,,,神奈川県,横浜市鶴見区,東寺尾,一丁目,2062,163,982,961,32,386,9,128,219,34,48
総数,14101,109002,4,,,,神奈川県,横浜市鶴見区,東寺尾,二丁目,887,63,432,422,12,178,1,62,84,8,28
総数,14101,109003,4,,,,神奈川県,横浜市鶴見区,東寺尾,三丁目,1300,90,612,506,17,281,5,97,127,13,29
総数,14101,109004,4,,,,神奈川県,横浜市鶴見区,東寺尾,四丁目,888,58,526,245,19,116,4,41,104,10,16
総数,14101,109005,4,,,,神奈川県,横浜市鶴見区,東寺尾,五丁目,1246,85,641,508,11,192,8,63,144,14,49
総数,14101,109006,4,,,,神奈川県,横浜市鶴見区,東寺尾,六丁目,1289,78,604,613,17,243,3,70,168,19,34
総数,14101,1150,2,,,,神奈川県,横浜市鶴見区,東寺尾東台,,1105,95,659,172,12,142,6,52,131,13,50
総数,14101,1160,2,,,,神奈川県,横浜市鶴見区,東寺尾中台,,2114,137,1341,698,45,233,4,68,198,13,60
総数,14101,1170,2,,,,神奈川県,横浜市鶴見区,東寺尾北台,,663,41,400,315,11,95,7,19,45,7,19
総数,14101,1180,3,,,,神奈川県,横浜市鶴見区,上の宮,,2512,126,1845,281,17,264,4,61,180,29,60
総数,14101,118001,4,,,,神奈川県,横浜市鶴見区,上の宮,一丁目,1481,72,1097,192,12,166,3,25,87,15,27
総数,14101,118002,4,,,,神奈川県,横浜市鶴見区,上の宮,二丁目,1031,54,748,89,5,98,1,36,93,14,33
総数,14101,1200,3,,,,神奈川県,横浜市鶴見区,鶴見中央,,10347,998,7350,826,214,561,26,101,763,75,396
総数,14101,120001,4,,,,神奈川県,横浜市鶴見区,鶴見中央,一丁目,1523,145,1137,134,34,82,7,11,67,7,40
総数,14101,120002,4,,,,神奈川県,横浜市鶴見区,鶴見中央,二丁目,2555,254,1840,161,81,139,3,20,192,11,84
総数,14101,120003,4,,,,神奈川県,横浜市鶴見区,鶴見中央,三丁目,2202,241,1416,219,28,157,5,33,259,20,94
総数,14101,120004,4,,,,神奈川県,横浜市鶴見区,鶴見中央,四丁目,2265,174,1684,181,44,87,6,21,120,17,121
総数,14101,120005,4,,,,神奈川県,横浜市鶴見区,鶴見中央,五丁目,1802,184,1273,131,27,96,5,16,125,20,57
総数,14101,1240,2,,,,神奈川県,横浜市鶴見区,大黒ふ頭,,-,-,-,-,-,-,-,-,-,-,-
総数,14101,1250,2,,,,神奈川県,横浜市鶴見区,公有水面調査区,,-,-,-,-,-,-,-,-,-,-,-
総数,14102,-,1,,,,神奈川県,横浜市神奈川区,,,103885,8985,67993,14460,1154,12735,342,3635,7754,1198,2850
総数,14102,10,3,,,,神奈川県,横浜市神奈川区,西寺尾,,5286,361,3225,977,68,770,10,276,663,77,145
総数,14102,1001,4,,,,神奈川県,横浜市神奈川区,西寺尾,一丁目,1009,72,599,211,14,160,-,61,120,12,26
総数,14102,1002,4,,,,神奈川県,横浜市神奈川区,西寺尾,二丁目,1163,93,698,149,11,176,4,61,138,21,39
総数,14102,1003,4,,,,神奈川県,横浜市神奈川区,西寺尾,三丁目,1648,117,1022,192,16,228,2,73,213,19,49
総数,14102,1004,4,,,,神奈川県,横浜市神奈川区,西寺尾,四丁目,1466,79,906,425,27,206,4,81,192,25,31
総数,14102,50,3,,,,神奈川県,横浜市神奈川区,松見町,,5049,319,3539,600,55,556,12,161,363,61,145
総数,14102,5001,4,,,,神奈川県,横浜市神奈川区,松見町,一丁目,1296,113,824,84,17,170,4,54,106,21,72
総数,14102,5002,4,,,,神奈川県,横浜市神奈川区,松見町,二丁目,1328,77,926,91,15,160,1,46,115,16,39
総数,14102,5003,4,,,,神奈川県,横浜市神奈川区,松見町,三丁目,1227,56,909,174,9,114,4,29,81,9,25
総数,14102,5004,4,,,,神奈川県,横浜市神奈川区,松見町,四丁目,1198,73,880,251,14,112,3,32,61,15,9
総数,14102,90,3,,,,神奈川県,横浜市神奈川区,新子安,,3588,322,2721,212,51,249,10,45,149,21,145
総数,14102,9001,4,,,,神奈川県,横浜市神奈川区,新子安,一丁目,2509,247,1898,138,38,170,8,28,74,11,121
総数,14102,9002,4,,,,神奈川県,横浜市神奈川区,新子安,二丁目,1079,75,823,74,13,79,2,17,75,10,24
総数,14102,110,3,,,,神奈川県,横浜市神奈川区,子安台,,891,87,580,102,15,93,5,35,98,4,17
総数,14102,11001,4,,,,神奈川県,横浜市神奈川区,子安台,一丁目,403,47,249,26,10,46,3,14,49,1,6
総数,14102,11002,4,,,,神奈川県,横浜市神奈川区,子安台,二丁目,488,40,331,76,5,47,2,21,49,3,11
総数,14102,130,2,,,,神奈川県,横浜市神奈川区,神之木町,,1051,103,750,64,14,101,2,23,60,5,27
総数,14102,140,2,,,,神奈川県,横浜市神奈川区,神之木台,,1044,86,706,92,13,111,3,34,82,15,49
総数,14102,150,3,,,,神奈川県,横浜市神奈川区,子安通,,3679,273,2801,220,65,242,5,71,194,26,150
総数,14102,15001,4,,,,神奈川県,横浜市神奈川区,子安通,一丁目,961,95,669,76,18,70,1,30,67,9,37
総数,14102,15002,4,,,,神奈川県,横浜市神奈川区,子安通,二丁目,693,41,531,31,10,42,1,14,23,4,50
総数,14102,15003,4,,,,神奈川県,横浜市神奈川区,子安通,三丁目,2025,137,1601,113,37,130,3,27,104,13,63
総数,14102,180,3,,,,神奈川県,横浜市神奈川区,入江,,2492,257,1750,141,33,202,3,56,176,27,76
総数,14102,18001,4,,,,神奈川県,横浜市神奈川区,入江,一丁目,1422,149,1017,82,23,100,2,27,94,10,43
総数,14102,18002,4,,,,神奈川県,横浜市神奈川区,入江,二丁目,1070,108,733,59,10,102,1,29,82,17,33
総数,14102,200,3,,,,神奈川県,横浜市神奈川区,守屋町,,-,-,-,-,-,-,-,-,-,-,-
総数,14102,20001,4,,,,神奈川県,横浜市神奈川区,守屋町,一丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14102,20002,4,,,,神奈川県,横浜市神奈川区,守屋町,二丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14102,20003,4,,,,神奈川県,横浜市神奈川区,守屋町,三丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14102,20004,4,,,,神奈川県,横浜市神奈川区,守屋町,四丁目,-,-,-,-,-,-,-,-,-,-,-
総数,14102,240,2,,,,神奈川県,横浜市神奈川区,恵比須町,,-,-,-,-,-,-,-,-,-,-,-
総数,14102,250,2,,,,神奈川県,横浜市神奈川区,宝町,,-,-,-,-,-,-,-,-,-,-,-
総数,14102,260,2,,,,神奈川県,横浜市神奈川区,西大口,,1305,77,876,117,20,155,3,49,116,17,42
総数,14102,270,2,,,,神奈川県,横浜市神奈川区,大口仲町,,1770,157,1226,111,30,173,3,57,144,16,40
総数,14102,280,2,,,,神奈川県,横浜市神奈川区,大口通,,2122,208,1521,135,29,155,5,45,134,25,75
総数,14102,290,2,,,,神奈川県,横浜市神奈川区,七島町,,1145,115,720,77,12,127,3,39,108,11,50
総数,14102,300,2,,,,神奈川県,横浜市神奈川区,白幡町,,224,26,164,13,3,10,-,7,11,1,6
総数,14102,310,2,,,,神奈川県,横浜市神奈川区,白幡東町,,629,41,405,91,10,75,1,27,72,8,19
総数,14102,320,2,,,,神奈川県,横浜市神奈川区,白幡西町,,803,69,583,56,8,75,4,17,71,5,17
総数,14102,330,2,,,,神奈川県,横浜市神奈川区,白幡南町,,944,76,667,89,6,83,1,19,108,11,14
総数,14102,340,2,,,,神奈川県,横浜市神奈川区,白幡上町,,1076,71,844,70,16,90,3,18,58,9,21
総数,14102,350,2,,,,神奈川県,横浜市神奈川区,白幡仲町,,996,72,655,73,19,111,3,36,124,9,25
総数,14102,360,2,,,,神奈川県,横浜市神奈川区,白幡向町,,1201,76,856,94,21,103,3,38,96,10,31
総数,14102,370,2,,,,神奈川県,横浜市神奈川区,浦島丘,,655,44,459,72,12,55,2,11,56,5,29
総数,14102,380,2,,,,神奈川県,横浜市神奈川区,鳥越,,329,32,235,21,4,35,-,4,25,1,9
総数,14102,390,2,,,,神奈川県,横浜市神奈川区,立町,,386,30,302,29,4,20,2,5,15,2,11
総数,14102,400,2,,,,神奈川県,横浜市神奈川区,富家町,,639,35,488,29,4,28,8,9,21,5,59
総数,14102,410,3,,,,神奈川県,横浜市神奈川区,西神奈川,,2185,219,1708,172,29,94,5,22,75,17,67
総数,14102,41001,4,,,,神奈川県,横浜市神奈川区,西神奈川,一丁目,1337,130,1054,95,19,51,3,7,40,9,51
総数,14102,41002,4,,,,神奈川県,横浜市神奈川区,西神奈川,二丁目,401,37,333,30,9,18,1,2,10,6,4
総数,14102,41003,4,,,,神奈川県,横浜市神奈川区,西神奈川,三丁目,447,52,321,47,1,25,1,13,25,2,12
総数,14102,440,2,,,,神奈川県,横浜市神奈川区,二ツ谷町,,417,51,301,24,7,24,1,3,12,4,24
総数,14102,450,2,,,,神奈川県,横浜市神奈川区,台町,,1110,165,800,91,11,69,4,2,28,6,35
総数,14102,460,3,,,,神奈川県,横浜市神奈川区,鶴屋町,,268,50,180,15,4,9,-,2,7,2,19
総数,14102,46001,4,,,,神奈川県,横浜市神奈川区,鶴屋町,一丁目,46,11,34,2,-,1,-,-,-,-,-
総数,14102,46002,4,,,,神奈川県,横浜市神奈川区,鶴屋町,二丁目,125,22,91,3,3,4,-,2,4,-,4
総数,14102,46003,4,,,,神奈川県,横浜市神奈川区,鶴屋町,三丁目,97,17,55,10,1,4,-,-,3,2,15
総数,14102,490,2,,,,神奈川県,横浜市神奈川区,金港町,,655,74,461,58,12,68,10,1,21,7,7
総数,14102,500,2,,,,神奈川県,横浜市神奈川区,幸ケ谷,,343,43,230,26,2,34,1,7,33,2,8
総数,14102,510,2,,,,神奈川県,横浜市神奈川区,亀住町,,232,13,160,13,5,32,1,5,29,-,2
総数,14102,520,2,,,,神奈川県,横浜市神奈川区,栄町,,2358,305,1659,187,23,178,16,17,168,23,32
総数,14102,530,2,,,,神奈川県,横浜市神奈川区,山内町,,-,-,-,-,-,-,-,-,-,-,-
