公共施設種別コード（ＰＯＩコード）,名称,名称_カナ,郵便番号,所在地,電話番号,FAX番号,URL,緯度,経度,創立年,学級数,給食（完全給食実施＝1、未実施＝0）
512,大津中学校,ヨコスカシリツオオツチュウガッコウ,239-0808,神奈川県横須賀市大津町5-2-1,046-823-1032,046-824-9429,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000331.html,35.260347,139.690962,1976,25,0
512,馬堀中学校,ヨコスカシリツマボリチュウガッコウ,239-0802,神奈川県横須賀市馬堀町4-10-2,046-841-4007,046-841-4006,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000330.html,35.258507,139.71699,1947,9,0
512,浦賀中学校,ヨコスカシリツウラガチュウガッコウ,239-0822,神奈川県横須賀市浦賀3-26-1,046-841-0454,046-841-0966,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000329.html,35.250298,139.7115,1947,23,0
512,鴨居中学校,ヨコスカシリツカモイチュウガッコウ,239-0813,神奈川県横須賀市鴨居3-2-2,046-841-0442,046-841-0556,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000325.html,35.252197,139.733159,1954,15,0
512,岩戸中学校,ヨコスカシリツイワトチュウガッコウ,239-0844,神奈川県横須賀市岩戸5-6-3,046-848-3054,046-848-3174,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000315.html,35.227981,139.668744,1987,7,0
512,久里浜中学校,ヨコスカシリツクリハマチュウガッコウ,239-0831,神奈川県横須賀市久里浜2-11-1,046-835-0402,046-835-0441,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000323.html,35.22878,139.699211,1949,24,0
512,神明中学校,ヨコスカシリツシンメイチュウガッコウ,239-0832,神奈川県横須賀市神明町903,046-834-4077,046-834-4480,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000310.html,35.225331,139.700771,1979,15,0
512,野比中学校,ヨコスカシリツノビチュウガッコウ,239-0841,神奈川県横須賀市野比4-4-1,046-849-3318,046-849-3791,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000320.html,35.215222,139.694611,1977,12,0
512,北下浦中学校,ヨコスカシリツキタシタウラチュウガッコウ,239-0842,神奈川県横須賀市長沢1-30-17,046-848-0104,046-848-0146,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000319.html,35.204223,139.673274,1947,8,0
512,長沢中学校,ヨコスカシリツナガサワチュウガッコウ,239-0842,神奈川県横須賀市長沢5-1-1,046-849-5431,046-849-5798,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000317.html,35.213142,139.675643,1985,16,0
512,長井中学校,ヨコスカシリツナガイチュウガッコウ,238-0316,神奈川県横須賀市長井5-12-1,046-856-2022,046-856-2132,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000313.html,35.205893,139.614818,1947,8,0
512,武山中学校,ヨコスカシリツタケヤマチュウガッコウ,238-0313,神奈川県横須賀市武3-31-1,046-856-1287,046-856-1255,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000311.html,35.217922,139.643666,1947,17,0
512,大楠中学校,ヨコスカシリツオオグスチュウガッコウ,240-0104,神奈川県横須賀市芦名1-2-1,046-856-2028,046-856-2309,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000309.html,35.23103,139.616068,1947,12,0
,緑が丘中学校,,,神奈川県横須賀市緑が丘39,046-822-1651,,,35.280535,139.664104,,,
,横須賀学院中学校,,,神奈川県横須賀市稲岡町82,046-822-3218,,http://www.city.yokosuka.kanagawa.jp/0120/sisetu/fc00000701.html,35.284904,139.672013,,,
